,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_choice,max_value
abil,0.031,0.004,0.08,0.011,0.231,0.0,topic_5,0.231
abl,0.256,0.0,0.065,0.187,0.352,0.108,topic_5,0.352
absolut,0.217,0.0,0.045,0.049,0.033,0.049,topic_1,0.217
accept,0.128,0.145,0.022,0.008,0.055,0.0,topic_2,0.145
accept bitcoin,0.0,0.089,0.0,0.0,0.0,0.0,topic_2,0.089
access,0.051,0.016,0.103,0.017,0.397,0.0,topic_5,0.397
accord,0.0,0.008,0.161,0.0,0.131,0.0,topic_3,0.161
account,0.024,0.029,1.244,0.255,0.554,0.0,topic_3,1.244
accumul,0.097,0.016,0.0,0.008,0.0,0.031,topic_1,0.097
accur,0.03,0.006,0.007,0.0,0.008,0.03,topic_1,0.03
achiev,0.013,0.026,0.0,0.0,0.036,0.05,topic_6,0.05
across,0.162,0.0,0.0,0.0,0.185,0.0,topic_5,0.185
act,0.118,0.021,0.079,0.0,0.06,0.009,topic_1,0.118
activ,0.173,0.023,0.074,0.0,0.12,0.0,topic_1,0.173
actual,0.087,0.032,0.035,0.002,0.218,0.142,topic_5,0.218
ad,0.073,0.055,0.0,0.02,0.273,0.0,topic_5,0.273
ada,0.01,0.011,0.0,0.027,0.0,0.0,topic_4,0.027
add,0.165,0.028,0.013,0.092,0.009,0.024,topic_1,0.165
addict,0.039,0.0,0.0,0.0,0.0,0.021,topic_1,0.039
addit,0.0,0.0,0.142,0.031,0.34,0.0,topic_5,0.34
address,0.277,0.0,0.0,0.053,0.089,0.0,topic_1,0.277
admit,0.05,0.005,0.011,0.0,0.0,0.012,topic_1,0.05
adopt,0.203,0.062,0.085,0.0,0.189,0.299,topic_6,0.299
advanc,0.047,0.0,0.03,0.035,0.019,0.006,topic_1,0.047
advantag,0.073,0.024,0.002,0.007,0.204,0.0,topic_5,0.204
advertis,0.082,0.0,0.0,0.012,0.004,0.0,topic_1,0.082
advic,0.119,0.0,0.0,0.067,0.003,0.154,topic_6,0.154
advoc,0.024,0.02,0.002,0.0,0.013,0.01,topic_1,0.024
af,0.007,0.008,0.001,0.0,0.0,0.0,topic_2,0.008
affect,0.079,0.0,0.031,0.032,0.0,0.02,topic_1,0.079
afford,0.0,0.004,0.006,0.037,0.0,0.224,topic_6,0.224
afford lose,0.0,0.0,0.0,0.0,0.0,0.117,topic_6,0.117
age,0.026,0.004,0.016,0.016,0.002,0.016,topic_1,0.026
ago,0.163,0.069,0.0,0.133,0.076,0.132,topic_1,0.163
agre,0.224,0.002,0.061,0.003,0.112,0.086,topic_1,0.224
ah,0.011,0.0,0.0,0.008,0.0,0.0,topic_1,0.011
ahead,0.072,0.02,0.0,0.0,0.027,0.074,topic_6,0.074
aint,0.004,0.002,0.015,0.039,0.004,0.001,topic_4,0.039
air,0.004,0.032,0.051,0.001,0.0,0.005,topic_3,0.051
airdrop,0.024,0.0,0.0,0.0,0.009,0.015,topic_1,0.024
aliv,0.018,0.012,0.004,0.0,0.0,0.0,topic_1,0.018
allow,0.161,0.013,0.506,0.088,0.267,0.003,topic_3,0.506
almost,0.315,0.051,0.051,0.102,0.112,0.1,topic_1,0.315
alon,0.111,0.032,0.034,0.004,0.01,0.001,topic_1,0.111
along,0.114,0.012,0.0,0.0,0.029,0.036,topic_1,0.114
alreadi,0.397,0.097,0.141,0.076,0.418,0.055,topic_5,0.418
alt,0.064,0.128,0.0,0.083,0.0,0.008,topic_2,0.128
altcoin,0.169,0.184,0.0,0.047,0.0,0.051,topic_2,0.184
altern,0.046,0.021,0.018,0.0,0.013,0.019,topic_1,0.046
although,0.035,0.0,0.074,0.0,0.0,0.05,topic_3,0.074
alway,0.472,0.167,0.0,0.122,0.041,0.155,topic_1,0.472
alway dyor,0.0,0.036,0.0,0.0,0.009,0.0,topic_2,0.036
amaz,0.13,0.062,0.0,0.0,0.019,0.04,topic_1,0.13
amazon,0.034,0.014,0.0,0.024,0.017,0.018,topic_1,0.034
america,0.0,0.002,0.021,0.0,0.117,0.0,topic_5,0.117
american,0.105,0.021,0.002,0.063,0.02,0.012,topic_1,0.105
among,0.0,0.0,0.0,0.0,0.21,0.01,topic_5,0.21
amount,0.278,0.022,0.027,0.402,0.195,0.176,topic_4,0.402
analysi,0.044,0.015,0.0,0.0,0.014,0.03,topic_1,0.044
andor,0.003,0.005,0.0,0.026,0.005,0.038,topic_6,0.038
announc,0.087,0.0,0.0,0.0,0.11,0.029,topic_5,0.11
annoy,0.009,0.004,0.006,0.008,0.007,0.01,topic_6,0.01
anonym,0.053,0.0,0.003,0.0,0.09,0.0,topic_5,0.09
anoth,0.582,0.069,0.078,0.09,0.132,0.076,topic_1,0.582
answer,0.33,0.0,0.0,0.005,0.0,0.0,topic_1,0.33
anybodi,0.021,0.0,0.002,0.018,0.0,0.064,topic_6,0.064
anymor,0.101,0.051,0.001,0.016,0.022,0.0,topic_1,0.101
anyth,0.352,0.022,0.0,0.005,0.352,0.112,topic_1,0.352
anytim,0.001,0.0,0.0,0.003,0.098,0.019,topic_5,0.098
anyway,0.127,0.05,0.0,0.01,0.034,0.066,topic_1,0.127
anywher,0.073,0.026,0.031,0.0,0.006,0.0,topic_1,0.073
apart,0.039,0.02,0.0,0.019,0.0,0.008,topic_1,0.039
api,0.102,0.0,0.0,0.0,0.008,0.0,topic_1,0.102
app,0.089,0.014,0.0,0.108,0.095,0.002,topic_4,0.108
appar,0.076,0.009,0.02,0.017,0.0,0.007,topic_1,0.076
appear,0.064,0.027,0.0,0.0,0.092,0.0,topic_5,0.092
appl,0.055,0.018,0.011,0.0,0.043,0.06,topic_6,0.06
appli,0.016,0.01,0.126,0.007,0.029,0.016,topic_3,0.126
applic,0.0,0.0,0.173,0.0,0.102,0.03,topic_3,0.173
appreci,0.058,0.0,0.0,0.0,0.014,0.033,topic_1,0.058
approach,0.077,0.0,0.025,0.008,0.002,0.011,topic_1,0.077
approv,0.017,0.001,0.0,0.0,0.025,0.037,topic_6,0.037
april,0.004,0.007,0.02,0.013,0.01,0.004,topic_3,0.02
area,0.011,0.001,0.133,0.0,0.027,0.029,topic_3,0.133
argu,0.07,0.0,0.21,0.0,0.0,0.0,topic_3,0.21
argument,0.078,0.009,0.012,0.0,0.082,0.001,topic_5,0.082
around,0.505,0.198,0.006,0.103,0.089,0.184,topic_1,0.505
articl,0.194,0.11,0.076,0.0,0.138,0.0,topic_1,0.194
articl alway,0.0,0.036,0.0,0.0,0.009,0.0,topic_2,0.036
articl alway dyor,0.0,0.036,0.0,0.0,0.009,0.0,topic_2,0.036
asid,0.056,0.0,0.004,0.001,0.016,0.0,topic_1,0.056
ask,0.817,0.034,0.0,0.026,0.02,0.004,topic_1,0.817
aspect,0.057,0.022,0.023,0.0,0.022,0.003,topic_1,0.057
asset,0.026,0.031,0.143,0.064,0.883,0.067,topic_5,0.883
asshol,0.014,0.002,0.002,0.0,0.0,0.006,topic_1,0.014
associ,0.029,0.021,0.01,0.0,0.085,0.0,topic_5,0.085
assum,0.079,0.031,0.0,0.022,0.04,0.049,topic_1,0.079
ath,0.019,0.017,0.0,0.146,0.0,0.055,topic_4,0.146
atm,0.01,0.011,0.012,0.038,0.0,0.0,topic_4,0.038
attack,0.198,0.004,0.0,0.0,0.146,0.0,topic_1,0.198
attempt,0.116,0.0,0.014,0.01,0.136,0.0,topic_5,0.136
attent,0.069,0.045,0.0,0.015,0.015,0.047,topic_1,0.069
audit,0.0,0.0,0.0,0.0,0.201,0.0,topic_5,0.201
author,0.016,0.019,0.103,0.0,0.04,0.0,topic_3,0.103
auto,0.0,0.048,0.0,0.004,0.011,0.0,topic_2,0.048
auto gener,0.0,0.04,0.0,0.0,0.012,0.0,topic_2,0.04
auto gener bot,0.0,0.036,0.0,0.0,0.009,0.0,topic_2,0.036
avail,0.061,0.013,0.037,0.0,0.086,0.012,topic_5,0.086
averag,0.195,0.027,0.079,0.002,0.029,0.143,topic_1,0.195
avoid,0.029,0.0,0.043,0.054,0.087,0.007,topic_5,0.087
aw,0.029,0.0,0.0,0.0,0.019,0.0,topic_1,0.029
awar,0.062,0.001,0.001,0.0,0.028,0.001,topic_1,0.062
away,0.247,0.035,0.056,0.034,0.023,0.079,topic_1,0.247
awesom,0.099,0.009,0.0,0.044,0.012,0.0,topic_1,0.099
babi,0.022,0.01,0.004,0.004,0.003,0.004,topic_1,0.022
bad,0.594,0.026,0.027,0.052,0.001,0.218,topic_1,0.594
bag,0.068,0.01,0.0,0.075,0.0,0.018,topic_4,0.075
balanc,0.057,0.0,0.072,0.07,0.009,0.027,topic_3,0.072
ball,0.015,0.01,0.009,0.011,0.0,0.005,topic_1,0.015
ban,0.261,0.0,0.034,0.0,0.064,0.0,topic_1,0.261
bank,0.0,0.0,5.778,0.0,0.0,0.0,topic_3,5.778
bank account,0.0,0.0,0.295,0.029,0.0,0.005,topic_3,0.295
banker,0.015,0.003,0.102,0.0,0.0,0.017,topic_3,0.102
bar,0.021,0.005,0.0,0.009,0.001,0.008,topic_1,0.021
bare,0.028,0.0,0.0,0.0,0.0,0.049,topic_6,0.049
base,0.147,0.043,0.059,0.032,0.141,0.035,topic_1,0.147
basi,0.096,0.022,0.0,0.0,0.11,0.0,topic_5,0.11
basic,0.196,0.043,0.099,0.012,0.057,0.087,topic_1,0.196
bat,0.02,0.0,0.0,0.0,0.009,0.012,topic_1,0.02
bear,0.098,0.012,0.0,0.01,0.0,0.105,topic_6,0.105
beat,0.062,0.002,0.016,0.0,0.004,0.032,topic_1,0.062
beauti,0.0,0.016,0.0,0.0,0.017,0.003,topic_5,0.017
becam,0.066,0.04,0.0,0.009,0.023,0.015,topic_1,0.066
becom,0.245,0.009,0.108,0.008,0.296,0.067,topic_5,0.296
begin,0.118,0.025,0.011,0.03,0.031,0.021,topic_1,0.118
behind,0.096,0.036,0.004,0.0,0.038,0.074,topic_1,0.096
belief,0.028,0.0,0.104,0.0,0.11,0.003,topic_5,0.11
believ,0.438,0.076,0.043,0.0,0.259,0.39,topic_1,0.438
benefit,0.021,0.067,0.08,0.0,0.054,0.119,topic_6,0.119
besid,0.023,0.0,0.003,0.0,0.002,0.011,topic_1,0.023
best,0.308,0.0,0.084,0.202,0.047,0.134,topic_1,0.308
